account_number,meter_name,label,zone,parent_meter,type,month,year,day_1,day_2,day_3,day_4,day_5,day_6,day_7,day_8,day_9,day_10,day_11,day_12,day_13,day_14,day_15,day_16,day_17,day_18,day_19,day_20,day_21,day_22,day_23,day_24,day_25,day_26,day_27,day_28,day_29,day_30,day_31
4300011,Z3-46(1A),L4,Zone_03_(A),D-46 Building Bulk Meter,Residential (Apart),Jan-26,2026,0.53,0.37,0.53,0.37,0.4,0.35,0.4,0.47,0.2,0.46,0.25,0.51,0.52,0.48,0.51,0.57,0.4,0.47,0.27,0.54,0.47,0.2,0.63,0.22,0.35,0.45,0.35,0.35,0.44,0.49,0.35
4300014,Z3-46(2A),L4,Zone_03_(A),D-46 Building Bulk Meter,Residential (Apart),Jan-26,2026,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4300007,Z3-46(3A),L4,Zone_03_(A),D-46 Building Bulk Meter,Residential (Apart),Jan-26,2026,0.32,0.12,0.16,0.26,0.21,0.15,0.19,0.28,0.41,0.44,0.17,0.26,0.17,0.38,0.38,0.27,0.27,0.35,0.22,0.18,0.21,0.18,0.95,0.84,0.08,0.08,0.15,0.05,0.11,0.1,0.26
4300043,Z3-46(4A),L4,Zone_03_(A),D-46 Building Bulk Meter,Residential (Apart),Jan-26,2026,0,0,0.01,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4300003,Z3-46(5),L4,Zone_03_(A),D-46 Building Bulk Meter,Residential (Apart),Jan-26,2026,0.33,0.33,0.75,1.08,1.09,1.02,1.32,1.24,0.5,0.64,0.84,0.99,0.75,0.66,0.67,0.3,0.52,1.01,0.72,1.06,1.5,0.87,0.63,0.23,0.56,0.67,0.63,1.48,1.18,0.91,0.97
4300015,Z3-46(6),L4,Zone_03_(A),D-46 Building Bulk Meter,Residential (Apart),Jan-26,2026,0,0,0,0,0,1.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.76,0,0,0,0,0,0,0.95,0,0,0
4300181,D-47 Building Bulk Meter,L3,Zone_03_(A),ZONE 3A BULK (#4300343),D_Building_Bulk,Jan-26,2026,1.92,2.38,2.03,2.56,2.54,1.69,2.5,2.52,2.05,2.29,2.62,2.05,2.84,3.4,2.21,1.83,2.48,2.27,2.33,1.74,2.12,2.5,4.71,1.4,2.05,1.77,1.65,2.47,2.36,1.75,2.09
4300143,D 47-Building Common,L4,Zone_03_(A),D-47 Building Bulk Meter,D_Building_Common,Jan-26,2026,0.06,0,0.01,0.05,0.04,0.06,0.03,0.01,0,0,0.02,0.04,0.02,0.02,0.02,0.01,0.11,0,0.02,0.01,0.04,0.02,0,0.01,0.09,0.02,0.03,0.04,0.04,0,0.01
4300115,Z3-47(1),L4,Zone_03_(A),D-47 Building Bulk Meter,Residential (Apart),Jan-26,2026,0.33,0.82,0.33,0.36,0.48,0.21,0.48,0.68,0.37,0.54,0.35,0.56,0.76,0.3,0.52,0.42,0.71,0.2,0.8,0.4,0.42,0.63,0.21,0,0,0,0,0.5,0.37,0.44,0.52
4300012,Z3-47(2),L4,Zone_03_(A),D-47 Building Bulk Meter,Residential (Apart),Jan-26,2026,0.08,0,0,0,0,0,0,0,0,0,0,0.17,0.74,1.07,0.72,0,0,0,0,0,0,0,0,0,0,0,0.08,0.25,0.26,0,0
