account_number,meter_name,label,zone,parent_meter,type,month,year,day_1,day_2,day_3,day_4,day_5,day_6,day_7,day_8,day_9,day_10,day_11,day_12,day_13,day_14,day_15,day_16,day_17,day_18,day_19,day_20,day_21,day_22,day_23,day_24,day_25,day_26,day_27,day_28,day_29,day_30,day_31
4300014,Z3-46(2A),L4,Zone_03_(A),D-46 Building Bulk Meter,Residential (Apart),Feb-26,2026,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4300007,Z3-46(3A),L4,Zone_03_(A),D-46 Building Bulk Meter,Residential (Apart),Feb-26,2026,0.05,0.09,0.26,0.16,0.19,0.4,0.15,0.08,0.22,0.07,0.07,0.23,0.07,0.25,0.21,0.14,0.23,0.19,0.07,0.04,0.02,0.02,0.01,0.02,0.32,0.11,0.24,0.4,0,0,0
4300043,Z3-46(4A),L4,Zone_03_(A),D-46 Building Bulk Meter,Residential (Apart),Feb-26,2026,0,0,0,0,0,0,0,2.1,0.01,0,0,0,1.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4300003,Z3-46(5),L4,Zone_03_(A),D-46 Building Bulk Meter,Residential (Apart),Feb-26,2026,1.18,1.02,0.44,0.43,0.44,0.45,0.44,0.46,0.43,0.59,0.97,0.74,0.61,0.44,0.84,0.62,0.66,1.03,0.71,0.44,0.45,0.85,1.11,2.37,1.24,1.53,1.08,1.01,0,0,0
4300015,Z3-46(6),L4,Zone_03_(A),D-46 Building Bulk Meter,Residential (Apart),Feb-26,2026,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.48,0,0,0,0,0,0,0,0,2.07,0,0,0,0,0,0,0
4300181,D-47 Building Bulk Meter,L3,Zone_03_(A),ZONE 3A BULK (#4300343),D_Building_Bulk,Feb-26,2026,1.97,2.43,2.14,2.07,2.06,2.27,1.87,2.93,3.08,2.87,2.29,2.57,1.99,2.37,2.52,2.19,2.78,2.63,2.02,2.36,2.59,2.53,2.3,2.54,2.43,3.36,2.93,2.33,0,0,0
4300143,D 47-Building Common,L4,Zone_03_(A),D-47 Building Bulk Meter,D_Building_Common,Feb-26,2026,0.07,0.02,0.02,0.02,0.01,0.01,0,0.03,0.03,0.03,0.06,0.04,0,0.01,0.03,0,0.32,0.11,0,0,0,0.03,0.02,0.02,0.03,0.03,0,0,0,0,0
4300115,Z3-47(1),L4,Zone_03_(A),D-47 Building Bulk Meter,Residential (Apart),Feb-26,2026,0.24,0.79,0.52,0.94,0.71,0.78,0.2,0.57,0.72,0.55,0.16,0.5,0.27,0.61,0.37,0.71,0.63,0.75,0.49,0.37,0.75,0.28,0.49,0.52,0.6,0.29,0.4,0.4,0,0,0
4300012,Z3-47(2),L4,Zone_03_(A),D-47 Building Bulk Meter,Residential (Apart),Feb-26,2026,0,0,0,0,0,0,0,0,0,0.16,0.2,0.06,0,0,0,0,0,0,0,0,0,0,0,0,0.32,1.84,1.68,0,0,0,0
4300039,Z3-47(3),L4,Zone_03_(A),D-47 Building Bulk Meter,Residential (Apart),Feb-26,2026,0.98,0.69,0.95,0.62,0.77,0.68,0.51,0.92,0.66,0.77,0.49,0.7,0.67,0.86,1.04,0.54,0.78,0.7,0.43,0.71,0.76,1.09,0.65,0.81,0.52,0.83,0.49,0.72,0,0,0
4300016,Z3-47(4),L4,Zone_03_(A),D-47 Building Bulk Meter,Residential (Apart),Feb-26,2026,0.08,0.16,0.06,0.13,0.2,0.19,0.36,0.21,0.33,0.24,0.39,0.42,0.31,0.24,0.26,0.32,0.28,0.35,0.4,0.41,0.4,0.37,0.43,0.5,0.37,0.39,0.29,0.31,0,0,0
4300018,Z3-47(5),L4,Zone_03_(A),D-47 Building Bulk Meter,Residential (Apart),Feb-26,2026,0.23,0.22,0.23,0.23,0.22,0.23,0.22,0.69,0.66,0.67,0.66,0.67,0.68,0.67,0.65,0.64,0.64,0.66,0.65,0.63,0.64,0.64,0.65,0.63,0.64,0.64,0.64,0.66,0,0,0
4300051,Z3-47(6),L4,Zone_03_(A),D-47 Building Bulk Meter,Residential (Apart),Feb-26,2026,0.42,0.52,0.36,0.13,0.14,0.39,0.58,0.51,0.7,0.44,0.34,0.2,0.06,0.06,0.1,0.06,0.06,0.07,0.06,0.22,0.06,0.13,0.06,0.07,0.15,0.08,0.66,0.32,0,0,0
4300182,D-48 Building Bulk Meter,L3,Zone_03_(A),ZONE 3A BULK (#4300343),D_Building_Bulk,Feb-26,2026,0.8,0.76,0.8,0.81,0.97,0.58,0.66,0.72,0.71,0.74,1.04,0.82,0.87,1.05,0.76,0.81,0.76,0.85,0.84,0.76,0.83,0.79,0.92,0.72,0.85,0.88,0.99,0.74,0,0,0
