account_number,meter_name,label,zone,parent_meter,type,month,year,day_1,day_2,day_3,day_4,day_5,day_6,day_7,day_8,day_9,day_10,day_11,day_12,day_13,day_14,day_15,day_16,day_17,day_18,day_19,day_20,day_21,day_22,day_23,day_24,day_25,day_26,day_27,day_28,day_29,day_30,day_31
4300015,Z3-46(6),L4,Zone_03_(A),D-46 Building Bulk Meter,Residential (Apart),Mar-26,2026,0,0,0,1.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4300181,D-47 Building Bulk Meter,L3,Zone_03_(A),ZONE 3A BULK (#4300343),D_Building_Bulk,Mar-26,2026,7.01,2.28,2.39,2.86,2.52,2.88,2.26,3.46,1.97,0.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4300143,D 47-Building Common,L4,Zone_03_(A),D-47 Building Bulk Meter,D_Building_Common,Mar-26,2026,0.03,0.02,0.03,0.09,0.02,0.01,0.01,0.03,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4300115,Z3-47(1),L4,Zone_03_(A),D-47 Building Bulk Meter,Residential (Apart),Mar-26,2026,0.67,0.27,0.57,0.51,0.47,0.47,0.43,0.47,0.33,0.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4300012,Z3-47(2),L4,Zone_03_(A),D-47 Building Bulk Meter,Residential (Apart),Mar-26,2026,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4300039,Z3-47(3),L4,Zone_03_(A),D-47 Building Bulk Meter,Residential (Apart),Mar-26,2026,0.92,0.64,0.57,0.69,0.71,0.9,0.63,1.07,0.7,0.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4300016,Z3-47(4),L4,Zone_03_(A),D-47 Building Bulk Meter,Residential (Apart),Mar-26,2026,0.32,0.39,0.35,0.39,0.37,0.33,0.33,0.35,0.39,0.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4300018,Z3-47(5),L4,Zone_03_(A),D-47 Building Bulk Meter,Residential (Apart),Mar-26,2026,4.78,0.66,0.63,0.65,0.64,0.64,0.65,1.09,0.2,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4300051,Z3-47(6),L4,Zone_03_(A),D-47 Building Bulk Meter,Residential (Apart),Mar-26,2026,0.3,0.3,0.45,0.37,0.41,0.42,0.22,0.47,0.33,0.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4300182,D-48 Building Bulk Meter,L3,Zone_03_(A),ZONE 3A BULK (#4300343),D_Building_Bulk,Mar-26,2026,0.86,0.69,0.96,0.98,2.41,0.96,0.79,0.76,0.93,0.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
